semester,course_code,course_name,is_lab,times_needed
1,CC111,Programming Fundamentals,false,2
1,CC111L,Programming Fundamentals Lab,true,1
1,CC120,Application of ICT,false,2
1,CC120L,Application of ICT Lab,true,1
1,NS125,Applied Physics,false,2
1,NS125L,Applied Physics Lab,true,1
1,MA107,Calculus and Analytical Geometry,false,2
1,EN111,English I,false,2
1,POL106,Pakistan: Ideology Constitution and Society,false,2
2,ISL104,Islamic Thought and Perspectives,false,2
2,EN125,English II,false,2
2,MA108,Multivariable Calculus (AI Supporting 1),false,2
2,CC112,Object Oriented Programming,false,2
2,CC112L,Object Oriented Programming Lab,true,1
2,CC121,Digital Logic Design,false,2
2,CC121L,Digital Logic Design Lab,true,1
2,CC141,Discrete Structures,false,2
3,CC213,Data Structures,false,2
3,CC213L,Data Structures Lab,true,1
3,CC281,Software Engineering,false,2
3,MA150,Probability & Statistics (AI Supporting 3),false,2
3,MA210,Linear Algebra (AI Supporting 2),false,2
3,CC222,Computer Organization & Assembly Language,false,2
3,CC222L,Computer Organization & Assembly Language Lab,true,1
3,SS103,Civics and Community Engagement,false,2
4,CC251,Computer Networks,false,2
4,CC251L,Computer Networks Lab,true,1
4,CC230,Database Systems,false,2
4,CC230L,Database Systems Lab,true,1
4,AI271,Programming for AI,false,2
4,AI271L,Programming for AI Lab,true,1
4,HU201,Professional Practices,false,2
5,CC323,Operating Systems,false,2
5,CC323L,Operating Systems Lab,true,1
5,CC342,Analysis of Algorithms,false,2
5,CC371,Artificial Intelligence,false,2
5,AI372,Machine Learning,false,2
5,AI372L,Machine Learning Lab,true,1
5,MG365,Innovation and Entrepreneurship,false,2
6,CC361,Information Security,false,2
6,AI374,Knowledge Representation & Reasoning,false,2
6,AI473,Artificial Neural Networks & Deep Learning,false,2
6,AI473L,Artificial Neural Networks & Deep Learning Lab,true,1
6,EN220,Technical & Business Writing (AI Supporting 4),false,2
7,AI375,Computer Vision,false,2
7,AI375L,Computer Vision Lab,true,1
7,CC425,Parallel and Distributed Computing,false,2
8,CC492,Final Year Project II/COOP2,false,2
8,Univ Elective,University Elective 2,false,2
